artsid;artsnavn;klassifikation
1946;Skeand x Blåvinget And (hybrid);Alm
1947;Skeand x Knarand (hybrid);Alm
1948;Skeand x Gråand (hybrid);Alm
1944;Skeand x Kaneland (hybrid);Alm
1794;Pibeand x Gråand (hybrid);Alm
1793;Pibeand x Krikand (hybrid);Alm
1808;Amerikansk Pibeand x Pibeand (hybrid);Alm
1797;Pibeand x Knarand (hybrid);Alm
1798;Pibeand x Chilepibeand (hybrid);Alm
1895;Gråand x Knarand (hybrid);Alm
1867;Gråand x Ederfugl (hybrid);Alm
1868;Gråand x Troldand (hybrid);Alm
1866;Gråand x Moskusand (hybrid);Alm
1869;Gråand x svømmeand sp. (hybrid);Alm
1893;Spidsand x Pibeand (hybrid);Alm
1894;Spidsand x Gråand (hybrid);Alm
1843;Krikand x Gråand (hybrid);Alm
1844;Krikand x Amerikansk Krikand (hybrid);Alm
4385;Trane x Japansk Trane (hybrid);Alm
4298;Blishøne x Rørhøne (hybrid);Alm
5758;Sorthovedet Måge x Hættemåge (hybrid);Alm
5935;Sølvmåge x Kaspisk Måge (hybrid);Alm
5918;Sølvmåge x Sildemåge (hybrid);Alm
5999;Sølvmåge x Gråmåge (hybrid);Alm
2619;Blå Kærhøg x Steppehøg (hybrid);Alm
2389;Sort Glente x Rød Glente (hybrid);Alm
8769;Stor Flagspætte x Hvidrygget Flagspætte (hybrid);Alm
15679;Sortkrage x Gråkrage (hybrid);Alm
10018;Landsvale x Bysvale (hybrid);Alm
14378;Nordlig Halemejse x Sydlig Halemejse (hybrid);Alm
13119;Gransanger x Løvsanger (hybrid);Alm
11989;Sjagger x Solsort (hybrid);Alm
13489;Hvidhalset Fluesnapper x Broget Fluesnapper (hybrid);Alm
15989;Gråspurv x Skovspurv (hybrid);Alm
10179;Gul Vipstjert, Almindelig x Gulhovedet (hybrid);Alm
10181;Citronvipstjert x Gul Vipstjert (hybrid);Alm
24998;Hybrid sp.;Alm
1539;Pibesvane/Sangsvane;Alm
1559;Svane sp.;Alm
1699;Rajgås sp.;Alm
1570;Tajgasædgås/Tundrasædgås;Alm
1599;Blisgås/Dværggås;Alm
1659;Grå Gås sp.;Alm
1709;Gås sp.;Alm
2218;Toppet Skallesluger/Stor Skallesluger;Alm
2239;Skallesluger sp.;Alm
2268;Havdykand sp. (Mergini);Alm
2269;Andefugl sp.;Alm
2038;Troldand/Bjergand;Alm
2059;Dykand sp. (Aythya sp.);Alm
1799;Pibeand/Spidsand;Alm
1949;Svømmeand sp.;Alm
1489;Flamingo sp.;Alm
1470;Stor Flamingo/Cariberflamingo;Alm
119;Nordisk Lappedykker/Sorthalset Lappedykker;Alm
99;Toppet Lappedykker/Gråstrubet Lappedykker;Alm
139;Lappedykker sp.;Alm
7069;Due sp.;Alm
4409;Trane sp.;Alm
4419;Stork/Trane sp.;Alm
4169;Rørvagtel sp.;Alm
4848;Amerikansk Hjejle/Sibirisk Hjejle;Alm
4795;Ørken-/Tibetansk/Sibirisk Præstekrave;Alm
4939;Brokfugl sp.;Alm
5439;Spove sp.;Alm
5289;Sneppeklire sp.;Alm
5649;Odinshane/Thorshane;Alm
5459;Sortklire/Rødben;Alm
4969;Islandsk Ryle/Lille Kobbersneppe;Alm
5129;Ryle sp.;Alm
5018;Dværgryle/Temmincksryle;Alm
4689;Braksvale sp.;Alm
5658;Vader sp., Stor;Alm
5659;Vader sp., Lille;Alm
5679;Almindelig Kjove/Lille Kjove;Alm
5669;Mellemkjove/Almindelig Kjove;Alm
