artsnavn;bemaerk_antal
Stenpikker;10
Stenpikker, Grønlandsk (ssp. leucorhoa);1
Stenpikker (ssp. oenanthe);10
Isabellastenpikker;1
Hvidkronet Stenpikker;1
Alpejernspurv;1
Sortstrubet Jernspurv;1
Jernspurv;10
Sibirisk Jernspurv;1
Snefinke;1
Skovspurv;50
Gråspurv x Skovspurv (hybrid);1
Gråspurv/Skovspurv;50
Spansk Spurv;1
Gråspurv;50
Bjergvipstjert;4
Gul Vipstjert;20
Gul Vipstjert, Gulhovedet (ssp. flavissima);1
Gul Vipstjert (ssp. flava);50
Gul Vipstjert, Sorthovedet (ssp. feldegg);1
Gul Vipstjert, Almindelig x Gulhovedet (hybrid);1
Gul Vipstjert, Nordlig (ssp. thunbergi);50
Citronvipstjert;1
Citronvipstjert x Gul Vipstjert (hybrid);1
Sibirisk Vipstjert;1
Hvid Vipstjert;25
Hvid Vipstjert, Sortrygget Vipstjert (ssp. yarrellii);1
Hvid Vipstjert (ssp. alba);25
Vipstjert sp.;1
Mongolsk Piber;1
Piber sp.;100
Markpiber;1
Storpiber;1
Skovpiber;10
Tajgapiber;1
Rødstrubet Piber;1
Engpiber;1000
Skærpiber;10
Bjergpiber/Skærpiber;3
Bjergpiber;1
Kvækerfinke;500
Bogfinke/Kvækerfinke;500
Bogfinke;1000
Kernebider;5
Karmindompap;1
Langhalet Rosenfinke;1
Rosenfinke;1
Krognæb;1
Dompap;20
Dompap, Stor (ssp. pyrrhula);20
Dompap, Lille (ssp. europaea);1
Ørkendompap;1
Ørkenfinke;1
Finke sp.;1000
Grønirisk;100
Brunirisk;1
Bjergirisk;100
Tornirisk;100
Tornirisk/Bjergirisk;100
Gråsisken;20
Gråsisken, Nordlig (ssp. flammea);20
Gråsisken, Grønlandsk (ssp. rostrata);1
Gråsisken, Lille (ssp. cabaret);20
Gråsisken, Hvidsisken (ssp. exilipes);1
Hvidvinget Korsnæb;1
Stor Korsnæb;1
Lille Korsnæb;150
Lille Korsnæb/Stor Korsnæb;2500
Korsnæb sp.;25
Stillits;25
Kanariefugl;1
Gulirisk;1
Grønsisken;50
Sisken sp.;100
Snespurv;20
Lapværling/Snespurv;1
Lapværling;1
Rørspurv;20
Gulbrynet Værling;1
Gulbrystet Værling;1
Dværgværling;1
Pileværling;1
Hætteværling;1
Brunhovedet Værling/Hætteværling;1
Brunhovedet Værling;1
Bomlærke;75
Klippeværling;1
Bjerghortulan;1
Gulgrå Værling;1
Hortulan;1
Gærdeværling;1
Hvidkindet Værling;1
Gulspurv;100
Værling sp.;25
Mørkøjet Junco;1
Hvidstrubet Spurv;1
Hvidkronet Spurv;1
Stribet Sanger;1
Gul Sanger;1
Rosenbrystet Kernebider;1
Indigofinke;1
Småfugl sp. (Pibere, Finker, Spurve o.lign.);1000
Burfugl sp.;1
Ny fugleart for landet;1
Hybrid sp.;1
