2025-11-14T16:25:51.571Z 192.168.0.2 user-xk91foje5e9 https://notifikation.dofbasen.dk/index.html
2025-11-14T16:27:58.867Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=sort-ibis-751555
2025-11-14T16:28:01.245Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:04.531Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:05.976Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:06.781Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:07.772Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:08.596Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:09.234Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:28:12.300Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/traad.html?date=14-11-2025&id=roedhovedet-and-901541
2025-11-14T16:29:48.744Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:29:49.537Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/settings.html
2025-11-14T16:29:50.886Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:29:51.981Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/settings.html
2025-11-14T16:29:52.885Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:29:54.282Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:30:03.793Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/index.html
2025-11-14T16:30:05.418Z 192.168.0.2 user-f2z6acvsav https://notifikation.dofbasen.dk/info.html
